high_sev_count,medium_sev_count,low_sev_count,reentrancy_flag,external_calls,access_control,unchecked_calls,total_detectors,label,filename
0,0,2,0,0,0,0,2,1,vuln_access_1.sol
0,0,3,0,0,0,0,3,1,vuln_access_2.sol
0,0,2,0,0,0,0,2,1,vuln_access_3.sol
0,0,2,0,0,0,0,2,1,vuln_access_4.sol
0,0,4,0,1,0,0,4,1,vuln_access_5.sol
2,0,2,1,1,0,0,5,1,vuln_mixed_1.sol
1,1,5,1,2,0,1,7,1,vuln_mixed_2.sol
1,1,5,1,2,0,1,7,1,vuln_mixed_3.sol
2,1,4,1,2,0,1,7,1,vuln_mixed_4.sol
1,0,3,1,1,0,0,4,1,vuln_mixed_5.sol
1,0,2,1,1,0,0,3,1,vuln_reentrancy_1.sol
1,0,2,1,1,0,0,3,1,vuln_reentrancy_2.sol
1,0,2,1,1,0,0,3,1,vuln_reentrancy_3.sol
1,0,3,1,1,0,0,4,1,vuln_reentrancy_4.sol
1,0,2,1,1,0,0,3,1,vuln_reentrancy_5.sol
1,0,2,1,1,0,0,3,1,vuln_reentrancy_6.sol
1,0,2,1,1,0,0,3,1,vuln_reentrancy_7.sol
1,1,3,0,1,0,1,5,1,vuln_unchecked_1.sol
1,1,3,0,2,0,1,5,1,vuln_unchecked_2.sol
0,1,3,0,1,0,1,5,1,vuln_unchecked_3.sol
0,1,2,0,1,0,1,3,1,vuln_unchecked_4.sol
1,3,5,0,1,0,3,9,1,vuln_unchecked_5.sol
0,0,3,0,2,0,0,4,0,safe_auction.sol
0,0,2,0,0,0,0,3,0,safe_dao.sol
0,0,5,0,2,0,0,9,0,safe_escrow.sol
0,0,2,0,1,0,0,3,0,safe_multisig.sol
0,0,1,0,0,0,0,2,0,safe_registry.sol
0,0,3,0,1,0,0,4,0,safe_staking.sol
0,0,4,0,1,0,0,6,0,safe_timelock.sol
0,0,1,0,0,0,0,2,0,safe_token.sol
0,0,2,0,1,0,0,2,0,safe_vault.sol
0,0,1,0,0,0,0,2,0,safe_voting.sol
